citekey,doi_or_id,source,role,ta_decision,ta_reason,ft_available,ft_decision,ft_reason
ongaro2014,url:https://web.stanford.edu/~ouster/cgi-bin/papers/OngaroPhD.pdf,citation,STUDY,include,IC1-IC4 met (Raft specification incl. timing and leases) [title/known source; no abstract],yes,include,"IC1-IC4 met (Raft specification, timing requirement, leases, election evaluation)"
ongaro2014a,url:https://www.usenix.org/conference/atc14/technical-sessions/presentation/ongaro,citation,STUDY,include,IC1-IC4 met (Raft specification incl. timing requirement),yes,include,"IC1-IC4 met (Raft specification, timing requirement, election evaluation)"
page2021,doi:10.1136/bmj.n71,method,BACKGROUND,,,,,
sakic2019,doi:10.1109/TNSM.2017.2775061,search,STUDY,include,IC1-IC4 met (analytical response time/availability),yes (arXiv preprint),include,IC1-IC4 met (analytical response time/availability of Raft with network delays and failures)
salimnejad2024,doi:10.1109/LCOMM.2025.3590865,search,STUDY,include,IC1-IC4 met (IC1 quantified clock drift between two nodes),yes (arXiv preprint),include,IC1-IC4 met (deterministic/probabilistic clock drift between two nodes; analytical)
shiozaki2025,doi:10.1109/ACCESS.2026.3724865,search,STUDY,include,IC1-IC4 met (election parameters under fluctuating delay),yes (arXiv preprint),include,IC1-IC4 met (election parameters under fluctuating delay and loss)
tennage2023,doi:10.1145/3600006.3613150,forward:ng2023,STUDY,include,IC1-IC4 met (timeout-free consensus under adverse networks),yes,include,IC1-IC4 met (timeout-free consensus under adversarial network conditions)
tennage2025,doi:10.1109/cloud67622.2025.00044,forward:ng2023,STUDY,include,IC1-IC4 met (randomized consensus under partitions/loss),yes (arXiv preprint),include,IC1-IC4 met (randomized consensus under partitions and high loss)
trach2021,doi:10.1145/3419111.3421273,search,STUDY,include,IC1-IC4 met (lease safety under clock manipulation),yes (arXiv preprint),include,IC1-IC4 met (lease safety under clock manipulation; lease timing assumptions)
tseng2016,doi:10.1007/978-3-319-48314-6_7,search,STUDY,include,"IC1-IC4 met (survey incl. link-fault/network models, CFT Paxos/Raft); depth uncertain, check at full text",yes (arXiv preprint),exclude,"IC1; IC2 (communication-model results concern general, mostly Byzantine, consensus; Raft/Paxos part descriptive only)"
wang2025,arXiv:2512.21165,search,STUDY,include,IC1-IC4 met (timeouts under long-tail delay/loss),yes,include,"IC1-IC4 met (Raft timeouts under long-tail delay, loss, partitions; simulation)"
wang2026,doi:10.1109/INFOCOM59046.2026.11571599,search,STUDY,include,"IC1-IC4 met (cross-domain RTT; TLA+); IC2 uncertain, check at full text",yes (arXiv preprint),include,IC1-IC4 met (two-tier cross-domain RTT model; TLA+; low relevance)
chen2002,doi:10.1109/12.980014,citation,BACKGROUND,,,,,
wohlin2014,doi:10.1145/2601248.2601268,method,BACKGROUND,,,,,
woos2016,doi:10.1145/2854065.2854081,citation,STUDY,include,IC1-IC4 met (verified safety under drop/duplicate/reorder network),no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
zotero-item-553,doi:10.1109/TNSM.2022.3147958,search,STUDY,include,IC1-IC4 met (delay-dependent election model; testbed),no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
zotero-item-554,doi:10.1109/HPCC-DSS-SmartCity-DependSys57074.2022.00076,search,STUDY,include,IC1-IC4 met (delay/loss-rate model of log commitment),no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
zotero-item-556,doi:10.1007/978-3-030-78618-2_47,search,STUDY,include,IC1-IC4 met (Raft under high network latency); EC1 borderline [title/venue only; no abstract],no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
zotero-item-557,doi:10.1109/CISCE65916.2025.11065606,search,STUDY,include,IC1-IC4 met (Raft reads under satellite latency),no (paywalled/blocked),exclude,EC6 (full text not retrievable: publisher blocks automated access; not supplied)
racs_tennage_2024#L1,arXiv:2404.04183,forward:ng2023,STUDY,exclude,EC5 (duplicate of tennage2025),,,
liang2024,arXiv:2405.11183,forward:jensen2021+ng2023,STUDY,include,"IC1-IC4 met (MultiPaxos leader election/failure detector, partition tolerance); IC2 uncertain, check at full text",yes,include,IC1-IC4 met (MultiPaxos failure detector/heartbeats under partial connectivity and partitions)
tight_naserpastoriza_2025#L3,litmaps:286908008,forward:ng2023,STUDY,exclude,EC5 (duplicate of naser-pastoriza2025),,,
scalable_kettaneh_2026#L4,doi:10.1145/3788853.3803081,forward:ng2023,STUDY,exclude,EC5 (duplicate of kettaneh2026),,,
racssadl_tennage_2024#L5,doi:10.1109/cloud67622.2025.00044,forward:ng2023,STUDY,exclude,EC5 (duplicate of tennage2025),,,
tight_naserpastoriza_2025#L6,doi:10.1145/3732772.3733529,forward:ng2023,STUDY,exclude,EC5 (duplicate of naser-pastoriza2025),,,
smart_howard_2024#L9,arXiv:2406.17455,forward:jensen2021,STUDY,exclude,EC5 (duplicate of howard2025),,,
distributed_li_2025#L10,arXiv:2502.12069,forward:jensen2021,STUDY,exclude,EC5 (duplicate of li2026),,,
distributed_li_2026#L11,doi:10.1109/ton.2026.3667834,forward:jensen2021,STUDY,exclude,EC5 (duplicate of li2026),,,
howard2025,url:https://www.usenix.org/conference/nsdi25/presentation/howard,forward:jensen2021,STUDY,include,"IC1-IC4 met (TLA+ model checking of CCF Raft-derived consensus); IC2 uncertain, check at full text",yes,include,"IC1-IC4 met (TLA+ model with message loss, reordering, timeouts for CCF Raft-derived consensus)"
enhancing_jang_2023,doi:10.1109/iceib57887.2023.10170110,forward:jensen2021,STUDY,exclude,IC1; IC2 (Kubernetes/Docker Swarm HA operations; no consensus network-model analysis),,,
distributed_li_2025#L14,arXiv:2502.12069,forward:jensen2021,STUDY,exclude,EC5 (duplicate of li2026),,,
smart_howard_2024#L15,litmaps:274584253,forward:jensen2021,STUDY,exclude,EC5 (duplicate of howard2025),,,
reckoning_sassi_2025,doi:10.1145/3719159.3721222,forward:jensen2021,STUDY,exclude,"IC1 (Kubernetes edge emulator; orchestration, not consensus/SMR)",,,
mutating_jeffery_2023#L17,arXiv:2311.09929,forward:jensen2021,STUDY,exclude,EC5 (duplicate of jeffery2023),,,
generative_liu_2026,doi:10.1109/gaiis69281.2026.11519245,forward:davis2025,STUDY,exclude,IC1 (LLM-driven consistency for distributed simulation),,,
consensus_afifi_2025,doi:10.14569/ijacsa.2025.01612101,forward:davis2025,STUDY,exclude,"IC2; EC2 (message replay/forgery attacks on Raft; adversarial threat model, no communication/timing model)",,,
informationtheoretic_kovaevi_2023#L20,doi:10.1209/0295-5075/ad3eae,forward:messerschmitt2017,STUDY,exclude,EC5 (duplicate of kovacevic2024),,,
timely_salimnejad_2024#L21,arXiv:2501.00549,forward:messerschmitt2017,STUDY,exclude,EC5 (duplicate of salimnejad2024),,,
relativity_messerschmitt_2018,doi:10.1007/978-3-319-95246-8_21,forward:messerschmitt2017,STUDY,exclude,IC3 (essay on relativity terminology) [title/venue only; no abstract],,,
timing_messerschmitt_2023#L23,arXiv:2311.14039,forward:messerschmitt2017,STUDY,exclude,EC5 (duplicate of messerschmitt2023),,,
fulltime_arumona_2020,doi:10.1002/mop.32307,forward:messerschmitt2017,STUDY,exclude,IC1; EC3 (optical microring teleportation),,,
timely_salimnejad_2025#L25,doi:10.1109/lcomm.2025.3590865,forward:messerschmitt2017,STUDY,exclude,EC5 (duplicate of salimnejad2024),,,
timing_messerschmitt_2024#L26,doi:10.1016/b978-0-323-91280-8.00012-5,forward:messerschmitt2017,STUDY,exclude,EC5 (duplicate of messerschmitt2023),,,
informationtheoretic_kovaevi_2023#L27,arXiv:2309.11862,forward:messerschmitt2017,STUDY,exclude,EC5 (duplicate of kovacevic2024),,,
travelerpoint_fraundorf_2017,litmaps:157386803,forward:messerschmitt2017,STUDY,exclude,EC3 (relativistic kinematics; no distributed-system model) [title only; no abstract],,,
challenges_messerschmitt_2020,doi:10.3847/1538-4365/aba126,forward:messerschmitt2017,STUDY,exclude,EC3 (interstellar optical downlink physics; no distributed coordination model),,,
microring_arumona_2021,doi:10.1007/s11468-020-01299-0,forward:messerschmitt2017,STUDY,exclude,IC1; EC3 (plasmonic circuits) [title/venue only; no abstract],,,
mechanics_euler_2025,doi:10.3390/applmech6020037,forward:messerschmitt2017,STUDY,exclude,IC1 (mechanical oscillator synchronisation),,,
let_cheng_2025,arXiv:2512.14806,forward:ng2023,STUDY,exclude,IC1 (AI-driven systems research methodology),,,
let_cheng_2025#L38,arXiv:2512.14806,forward:ng2023,STUDY,exclude,EC5 (duplicate of let_cheng_2025),,,
benchmarking_turkkan_2024#L39,arXiv:2403.09445,forward:ng2023,STUDY,exclude,EC5 (duplicate of evaluate_turkkan_2024),,,
partible_johansson_2024,doi:10.1109/icit58233.2024.10540726,forward:ng2023,STUDY,exclude,IC2 (industrial controller primary-backup replication; no communication/timing model central),,,
holipaxos_liang_2025,doi:10.14778/3742728.3742744,forward:jensen2021+ng2023,STUDY,exclude,"IC2 (SMR performance predictability; failure-detector/log-compaction integration, no explicit communication model)",,,
faulttolerant_naserpastoriza_2023#L42,arXiv:2305.15150,forward:jensen2021+ng2023,STUDY,exclude,EC5 (duplicate of naser-pastoriza2023),,,
evaluate_turkkan_2024,doi:10.1109/tpds.2025.3631614,forward:ng2023,STUDY,exclude,IC2 (survey of benchmarking practice for coordination services),,,
omaha_mahamdi_2023,doi:10.1109/prdc59308.2023.00027,forward:ng2023,STUDY,exclude,IC2 (message aggregation for bandwidth; no communication/timing model analysis),,,
barbarians_cheng_2025,arXiv:2510.06189,forward:ng2023,STUDY,exclude,IC1 (AI-driven systems research methodology),,,
quepaxa_tennage_2023#L46,doi:10.1145/3600006.3613150,forward:ng2023,STUDY,exclude,EC5 (duplicate of tennage2023),,,
quepaxa_tennage_2023#L47,doi:10.1145/3600006.3613150,forward:ng2023,STUDY,exclude,EC5 (duplicate of tennage2023),,,
lcriture_matherat_2008,litmaps:13077593,forward:matherat2003,STUDY,exclude,IC4; IC1 (French essay on computing and climate),,,
le_matherat_2006,litmaps:25938643,forward:matherat2003,STUDY,exclude,IC4 (French lecture transcript),,,
cluster_burgin_2003,litmaps:60824005,forward:matherat2003,STUDY,exclude,IC1 (cluster computing automata model) [title/venue only; no abstract],,,
o_matherat_2007,doi:10.1007/bf03253284,forward:matherat2003,STUDY,exclude,IC4; IC1 (French; energy dissipation of computation) [title only],,,
first_jia_2017,litmaps:232540819,forward:matherat2003,STUDY,exclude,IC1 (universal physical computation / natural intelligence),,,
differential_longo_2007,doi:10.1007/s10699-007-9111-x,forward:matherat2003,STUDY,exclude,IC1 (programming theory in molecular biology) [title/venue only; no abstract],,,
action_dedonnees_2005,litmaps:241533639,forward:matherat2003,STUDY,exclude,EC4 (project description; not a scholarly publication) [title only],,,
relativistic_matherat_2011#L55,doi:10.1145/2043643.2043650,forward:matherat2003,STUDY,exclude,EC5 (duplicate of matherat2011),,,
first_jia_2017#L56,litmaps:151313559,forward:matherat2003,STUDY,exclude,EC5 (duplicate of first_jia_2017),,,
cluster_burgin_2003#L57,litmaps:246016909,forward:matherat2003,STUDY,exclude,EC5 (duplicate of cluster_burgin_2003),,,
debugging_hayes_2003,doi:10.1023/a:1024447300346,forward:matherat2003,STUDY,exclude,IC1 (theoretical physics essay) [title/venue only; no abstract],,,
relativistic_matherat_2011#L59,doi:10.1145/2043643.2043650,forward:matherat2003,STUDY,exclude,EC5 (duplicate of matherat2011),,,
debugging_t_nodate#L60,litmaps:239003088,forward:matherat2003,STUDY,exclude,EC5 (duplicate of debugging_hayes_2003),,,
calculer_matherat_2010,litmaps:69433824,forward:matherat2003,STUDY,exclude,IC4 (French) [title only],,,
asynchronous_jayanti_2026#L62,arXiv:2604.08298,forward:gilbert2014+jayanti2025,STUDY,exclude,EC5 (duplicate of jayanti2026),,,
asynchronous_jayanti_2026#L63,arXiv:2604.08298,forward:gilbert2014+jayanti2025,STUDY,exclude,EC5 (duplicate of jayanti2026),,,
